label,message
ham,The meeting has been confirmed for 9:30 AM in conference room B.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.free-gift-offer.net
ham,Don't forget to pick up milk on your way home.
ham,"Great job on the presentation today, the client loved it."
ham,"Just checking in, how is the assignment coming along?"
ham,Can you help me move some furniture this weekend?
ham,Reminder: your dentist appointment is scheduled for next week at noon.
spam,URGENT: Your account will be suspended. Verify your details immediately at www.verify-account-now.com
spam,FINAL NOTICE: Your payment of $5000 is overdue. Pay now to avoid penalty www.verify-account-now.com
spam,Limited time offer! Get 70% off on all products. Shop now tinyurl.com/winbig
spam,Your loan of $10000 has been approved. No credit check needed. Apply now www.verify-account-now.com
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,The meeting has been confirmed for 6 PM in conference room B.
ham,Let's finalize the budget numbers before Monday's review.
spam,This is not a scam! You really did win a gift card. Text WIN to 12345 to claim.
spam,Get rich quick! Earn $2500 per day working from home. No experience needed.
spam,Get rich quick! Earn $10000 per day working from home. No experience needed.
spam,You have 1 new voicemail regarding your unclaimed $200 refund. Call now.
ham,"I'll be a few minutes late, traffic is heavy today."
spam,Limited time offer! Get 40% off on all products. Shop now bit.ly/xyz123
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Can you send me the report before the next week meeting?
spam,Make $1000 a week doing simple online surveys. Sign up free today!
spam,WINNER!! As a valued network customer you have been selected to receive a gift card!
ham,"I'll be a few minutes late, traffic is heavy today."
spam,You have 1 new voicemail regarding your unclaimed $10000 refund. Call now.
spam,You have been selected for a FREE spa weekend! Reply YES to claim your prize now.
ham,"Great job on the presentation today, the client loved it."
ham,Happy birthday! Hope you have a wonderful day.
ham,Can you send me the report before the tomorrow meeting?
spam,This is not a scam! You really did win a laptop. Text WIN to 12345 to claim.
spam,"Congratulations, you've been chosen for a free PlayStation 5 cruise! Call now to claim."
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,Limited time offer! Get 70% off on all products. Shop now www.free-gift-offer.net
spam,This is not a scam! You really did win a spa weekend. Text WIN to 12345 to claim.
spam,"Claim your FREE gift card today, no purchase necessary! Limited stock, hurry up."
ham,Reminder: your dentist appointment is scheduled for Wednesday at 2 PM.
spam,Your loan of $500 has been approved. No credit check needed. Apply now www.claim-prize-now.com
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,"Mom said dinner will be ready by 5 PM, come home soon."
ham,The meeting has been confirmed for 2 PM in conference room B.
ham,Happy birthday! Hope you have a wonderful day.
spam,Hot singles in your area want to chat with you! Click www.verify-account-now.com now
spam,WINNER!! As a valued network customer you have been selected to receive a car!
spam,WINNER!! As a valued network customer you have been selected to receive a laptop!
ham,Reminder: your dentist appointment is scheduled for Thursday at 5 PM.
spam,You have been selected for a FREE Amazon voucher! Reply YES to claim your prize now.
ham,"Just checking in, how is the assignment coming along?"
spam,Your loan of $5000 has been approved. No credit check needed. Apply now www.verify-account-now.com
ham,Happy birthday! Hope you have a wonderful day.
spam,Make $5000 a week doing simple online surveys. Sign up free today!
ham,Please review the attached document and share your feedback by next week.
spam,"Lowest prices guaranteed on spa weekend! Buy 1 get 1 free, offer ends tonight www.claim-prize-now.com"
spam,"Lowest prices guaranteed on vacation package! Buy 1 get 1 free, offer ends tonight www.verify-account-now.com"
spam,Get rich quick! Earn $750 per day working from home. No experience needed.
spam,"Congratulations, you've been chosen for a free car cruise! Call now to claim."
spam,This is not a scam! You really did win a PlayStation 5. Text WIN to 12345 to claim.
spam,You've been pre-approved for a credit card with $500 limit. Apply instantly.
spam,"Congratulations, you've been chosen for a free cash prize cruise! Call now to claim."
ham,Don't forget to pick up milk on your way home.
ham,The meeting has been confirmed for 9:30 AM in conference room B.
spam,"Dear customer, you have won $2500 in our lucky draw. Claim before it expires!"
spam,"Congratulations, you've been chosen for a free laptop cruise! Call now to claim."
ham,The meeting has been confirmed for 2 PM in conference room B.
spam,This is not a scam! You really did win a iPhone 16. Text WIN to 12345 to claim.
ham,"Just checking in, how is the assignment coming along?"
ham,Can you help me move some furniture this weekend?
spam,"Claim your FREE gift card today, no purchase necessary! Limited stock, hurry up."
spam,Make $10000 a week doing simple online surveys. Sign up free today!
spam,This is not a scam! You really did win a Amazon voucher. Text WIN to 12345 to claim.
ham,"Thanks for your help yesterday, really appreciate it!"
spam,You have been selected for a FREE gift card! Reply YES to claim your prize now.
spam,You have been selected for a FREE Amazon voucher! Reply YES to claim your prize now.
ham,Can you send me the report before the Thursday meeting?
ham,"Let's catch up over coffee this tomorrow, are you free?"
ham,"Thanks for your help yesterday, really appreciate it!"
spam,WINNER!! As a valued network customer you have been selected to receive a vacation package!
spam,"Dear customer, you have won $500 in our lucky draw. Claim before it expires!"
ham,Please review the attached document and share your feedback by Friday.
spam,You have been selected for a FREE car! Reply YES to claim your prize now.
ham,"Mom said dinner will be ready by 6 PM, come home soon."
spam,Hot singles in your area want to chat with you! Click www.free-gift-offer.net now
spam,Limited time offer! Get 50% off on all products. Shop now www.free-gift-offer.net
ham,Reminder: your dentist appointment is scheduled for Wednesday at 9:30 AM.
spam,Get rich quick! Earn $1000 per day working from home. No experience needed.
spam,Make $5000 a week doing simple online surveys. Sign up free today!
spam,WINNER!! As a valued network customer you have been selected to receive a spa weekend!
ham,"Just checking in, how is the assignment coming along?"
ham,Can you help me move some furniture this weekend?
ham,Reminder: your dentist appointment is scheduled for next week at 10 AM.
spam,Act now! Your PlayStation 5 is waiting. Click bit.ly/xyz123 before offer expires today.
spam,Congratulations! You have won a Amazon voucher worth $15000. Click here www.verify-account-now.com to claim now!
spam,WINNER!! As a valued network customer you have been selected to receive a vacation package!
ham,Can you send me the report before the next week meeting?
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.free-gift-offer.net
spam,"Dear customer, you have won $5000 in our lucky draw. Claim before it expires!"
spam,Get rich quick! Earn $500 per day working from home. No experience needed.
ham,"Great job on the presentation today, the client loved it."
spam,You've been pre-approved for a credit card with $1000 limit. Apply instantly.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.claim-prize-now.com
ham,Can you help me move some furniture this weekend?
ham,"Hey, are we still meeting for lunch tomorrow at 6 PM?"
ham,Can you help me move some furniture this weekend?
ham,Please review the attached document and share your feedback by Friday.
ham,"Mom said dinner will be ready by 6 PM, come home soon."
ham,"The exam syllabus has been updated, please check the portal."
spam,Make $750 a week doing simple online surveys. Sign up free today!
ham,Please review the attached document and share your feedback by Wednesday.
ham,Can you send me the report before the Friday meeting?
spam,URGENT: Your account will be suspended. Verify your details immediately at www.claim-prize-now.com
spam,This is not a scam! You really did win a smartwatch. Text WIN to 12345 to claim.
ham,Can you send me the report before the Friday meeting?
spam,You have been selected for a FREE spa weekend! Reply YES to claim your prize now.
ham,"The exam syllabus has been updated, please check the portal."
ham,"I'll be a few minutes late, traffic is heavy today."
spam,URGENT: Your account will be suspended. Verify your details immediately at bit.ly/xyz123
spam,This is not a scam! You really did win a smartwatch. Text WIN to 12345 to claim.
spam,WINNER!! As a valued network customer you have been selected to receive a gift card!
ham,"The exam syllabus has been updated, please check the portal."
spam,Limited time offer! Get 60% off on all products. Shop now bit.ly/xyz123
ham,"Let's catch up over coffee this Monday, are you free?"
spam,FINAL NOTICE: Your payment of $500 is overdue. Pay now to avoid penalty www.free-gift-offer.net
spam,Act now! Your smartwatch is waiting. Click www.free-gift-offer.net before offer expires today.
ham,Can you help me move some furniture this weekend?
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,Act now! Your vacation package is waiting. Click bit.ly/xyz123 before offer expires today.
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Can we reschedule our call to noon instead?
ham,Let's finalize the budget numbers before Thursday's review.
ham,"Hey, are we still meeting for lunch tomorrow at 5 PM?"
spam,WINNER!! As a valued network customer you have been selected to receive a smartwatch!
spam,"Congratulations, you've been chosen for a free laptop cruise! Call now to claim."
spam,"Dear customer, you have won $500 in our lucky draw. Claim before it expires!"
spam,"Congratulations, you've been chosen for a free vacation package cruise! Call now to claim."
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,"Lowest prices guaranteed on gift card! Buy 1 get 1 free, offer ends tonight tinyurl.com/winbig"
spam,This is not a scam! You really did win a Amazon voucher. Text WIN to 12345 to claim.
spam,"Claim your FREE smartwatch today, no purchase necessary! Limited stock, hurry up."
spam,"Dear customer, you have won $200 in our lucky draw. Claim before it expires!"
ham,"The exam syllabus has been updated, please check the portal."
spam,Get rich quick! Earn $750 per day working from home. No experience needed.
ham,The meeting has been confirmed for noon in conference room B.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.claim-prize-now.com
spam,Limited time offer! Get 70% off on all products. Shop now www.free-gift-offer.net
ham,"Mom said dinner will be ready by noon, come home soon."
spam,Limited time offer! Get 80% off on all products. Shop now www.free-gift-offer.net
ham,"The exam syllabus has been updated, please check the portal."
ham,Don't forget to pick up milk on your way home.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.free-gift-offer.net
ham,"Just checking in, how is the assignment coming along?"
ham,Can you help me move some furniture this weekend?
ham,"Thanks for sending the invoice, I'll process the payment by tomorrow."
ham,Happy birthday! Hope you have a wonderful day.
spam,You've been pre-approved for a credit card with $15000 limit. Apply instantly.
ham,"I'll be a few minutes late, traffic is heavy today."
spam,Hot singles in your area want to chat with you! Click bit.ly/xyz123 now
ham,Happy birthday! Hope you have a wonderful day.
spam,Make $1000 a week doing simple online surveys. Sign up free today!
ham,"Let's catch up over coffee this tomorrow, are you free?"
spam,You've been pre-approved for a credit card with $2500 limit. Apply instantly.
spam,Make $5000 a week doing simple online surveys. Sign up free today!
ham,The meeting has been confirmed for 2 PM in conference room B.
ham,Don't forget to pick up milk on your way home.
spam,This is not a scam! You really did win a Amazon voucher. Text WIN to 12345 to claim.
spam,Make $200 a week doing simple online surveys. Sign up free today!
spam,You've been pre-approved for a credit card with $15000 limit. Apply instantly.
ham,The project deadline has been moved to next Monday.
spam,WINNER!! As a valued network customer you have been selected to receive a smartwatch!
ham,Please review the attached document and share your feedback by Thursday.
spam,You've been pre-approved for a credit card with $200 limit. Apply instantly.
spam,Limited time offer! Get 60% off on all products. Shop now www.verify-account-now.com
spam,You have 1 new voicemail regarding your unclaimed $750 refund. Call now.
ham,The project deadline has been moved to next tomorrow.
ham,Please review the attached document and share your feedback by next week.
spam,URGENT: Your account will be suspended. Verify your details immediately at tinyurl.com/winbig
spam,You have 1 new voicemail regarding your unclaimed $5000 refund. Call now.
ham,"Great job on the presentation today, the client loved it."
spam,"Lowest prices guaranteed on spa weekend! Buy 1 get 1 free, offer ends tonight tinyurl.com/winbig"
spam,Limited time offer! Get 80% off on all products. Shop now www.verify-account-now.com
spam,Limited time offer! Get 80% off on all products. Shop now bit.ly/xyz123
spam,You've been pre-approved for a credit card with $5000 limit. Apply instantly.
ham,Can you send me the report before the tomorrow meeting?
ham,Can we reschedule our call to 6 PM instead?
spam,You have been selected for a FREE PlayStation 5! Reply YES to claim your prize now.
ham,Can you send me the report before the Monday meeting?
spam,You have 1 new voicemail regarding your unclaimed $1000 refund. Call now.
spam,Hot singles in your area want to chat with you! Click tinyurl.com/winbig now
ham,Don't forget to pick up milk on your way home.
ham,Can you help me move some furniture this weekend?
spam,"Congratulations, you've been chosen for a free vacation package cruise! Call now to claim."
spam,FINAL NOTICE: Your payment of $1000 is overdue. Pay now to avoid penalty www.free-gift-offer.net
ham,Don't forget to pick up milk on your way home.
spam,You've been pre-approved for a credit card with $1000 limit. Apply instantly.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation bit.ly/xyz123
ham,"Great job on the presentation today, the client loved it."
ham,Can you help me move some furniture this weekend?
ham,Can you send me the report before the Monday meeting?
spam,Make $750 a week doing simple online surveys. Sign up free today!
spam,Limited time offer! Get 90% off on all products. Shop now www.verify-account-now.com
ham,"Great job on the presentation today, the client loved it."
spam,"Dear customer, you have won $2500 in our lucky draw. Claim before it expires!"
spam,Hot singles in your area want to chat with you! Click tinyurl.com/winbig now
ham,"The exam syllabus has been updated, please check the portal."
spam,"Lowest prices guaranteed on Amazon voucher! Buy 1 get 1 free, offer ends tonight bit.ly/xyz123"
ham,Let's finalize the budget numbers before Thursday's review.
ham,The project deadline has been moved to next next week.
ham,"Let's catch up over coffee this next week, are you free?"
ham,"Thanks for sending the invoice, I'll process the payment by Wednesday."
ham,Don't forget to pick up milk on your way home.
ham,"Hey, are we still meeting for lunch tomorrow at 2 PM?"
ham,"Thanks for your help yesterday, really appreciate it!"
spam,"Dear customer, you have won $500 in our lucky draw. Claim before it expires!"
ham,"Mom said dinner will be ready by noon, come home soon."
spam,Hot singles in your area want to chat with you! Click www.verify-account-now.com now
spam,You've been pre-approved for a credit card with $10000 limit. Apply instantly.
ham,The project deadline has been moved to next Wednesday.
ham,Happy birthday! Hope you have a wonderful day.
ham,The project deadline has been moved to next Friday.
spam,"Lowest prices guaranteed on Amazon voucher! Buy 1 get 1 free, offer ends tonight tinyurl.com/winbig"
spam,"Congratulations, you've been chosen for a free smartwatch cruise! Call now to claim."
ham,"Thanks for your help yesterday, really appreciate it!"
spam,Get rich quick! Earn $1000 per day working from home. No experience needed.
ham,"Thanks for your help yesterday, really appreciate it!"
ham,Can you help me move some furniture this weekend?
spam,"Lowest prices guaranteed on iPhone 16! Buy 1 get 1 free, offer ends tonight www.free-gift-offer.net"
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.verify-account-now.com
spam,"Claim your FREE iPhone 16 today, no purchase necessary! Limited stock, hurry up."
ham,"I'll be a few minutes late, traffic is heavy today."
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,"Thanks for your help yesterday, really appreciate it!"
ham,The project deadline has been moved to next Monday.
spam,Your loan of $5000 has been approved. No credit check needed. Apply now www.free-gift-offer.net
ham,"Thanks for sending the invoice, I'll process the payment by Thursday."
spam,"Claim your FREE spa weekend today, no purchase necessary! Limited stock, hurry up."
spam,Make $10000 a week doing simple online surveys. Sign up free today!
spam,FINAL NOTICE: Your payment of $15000 is overdue. Pay now to avoid penalty www.claim-prize-now.com
ham,"Let's catch up over coffee this Wednesday, are you free?"
spam,You have been selected for a FREE spa weekend! Reply YES to claim your prize now.
ham,The project deadline has been moved to next Friday.
spam,"Dear customer, you have won $750 in our lucky draw. Claim before it expires!"
spam,Make $200 a week doing simple online surveys. Sign up free today!
ham,"Just checking in, how is the assignment coming along?"
ham,The meeting has been confirmed for 2 PM in conference room B.
ham,Can you help me move some furniture this weekend?
ham,The project deadline has been moved to next tomorrow.
ham,"Mom said dinner will be ready by 9:30 AM, come home soon."
spam,Get rich quick! Earn $5000 per day working from home. No experience needed.
ham,Can you help me move some furniture this weekend?
spam,"Lowest prices guaranteed on spa weekend! Buy 1 get 1 free, offer ends tonight www.free-gift-offer.net"
spam,This is not a scam! You really did win a car. Text WIN to 12345 to claim.
ham,Can we reschedule our call to 6 PM instead?
ham,"Thanks for sending the invoice, I'll process the payment by Thursday."
ham,Please review the attached document and share your feedback by Wednesday.
ham,"I'll be a few minutes late, traffic is heavy today."
spam,"Claim your FREE PlayStation 5 today, no purchase necessary! Limited stock, hurry up."
ham,Let's finalize the budget numbers before Thursday's review.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.free-gift-offer.net
spam,You have been selected for a FREE cash prize! Reply YES to claim your prize now.
spam,This is not a scam! You really did win a vacation package. Text WIN to 12345 to claim.
ham,"Thanks for your help yesterday, really appreciate it!"
ham,"Thanks for your help yesterday, really appreciate it!"
spam,"Dear customer, you have won $500 in our lucky draw. Claim before it expires!"
ham,"Just checking in, how is the assignment coming along?"
ham,"Great job on the presentation today, the client loved it."
ham,"Thanks for your help yesterday, really appreciate it!"
ham,"Mom said dinner will be ready by 2 PM, come home soon."
ham,"I'll be a few minutes late, traffic is heavy today."
ham,Can you send me the report before the Thursday meeting?
ham,"Mom said dinner will be ready by 6 PM, come home soon."
spam,You have 1 new voicemail regarding your unclaimed $1000 refund. Call now.
spam,You have been selected for a FREE PlayStation 5! Reply YES to claim your prize now.
spam,"Claim your FREE vacation package today, no purchase necessary! Limited stock, hurry up."
ham,The meeting has been confirmed for 2 PM in conference room B.
spam,URGENT: Your account will be suspended. Verify your details immediately at tinyurl.com/winbig
spam,"Dear customer, you have won $500 in our lucky draw. Claim before it expires!"
spam,Hot singles in your area want to chat with you! Click www.free-gift-offer.net now
ham,"Mom said dinner will be ready by noon, come home soon."
spam,Act now! Your iPhone 16 is waiting. Click www.verify-account-now.com before offer expires today.
spam,Limited time offer! Get 50% off on all products. Shop now www.claim-prize-now.com
ham,Can we reschedule our call to 5 PM instead?
spam,Get rich quick! Earn $750 per day working from home. No experience needed.
spam,"Claim your FREE cash prize today, no purchase necessary! Limited stock, hurry up."
ham,Can you send me the report before the Wednesday meeting?
spam,"Congratulations, you've been chosen for a free PlayStation 5 cruise! Call now to claim."
ham,Can we reschedule our call to 9:30 AM instead?
ham,Happy birthday! Hope you have a wonderful day.
spam,You've been pre-approved for a credit card with $2500 limit. Apply instantly.
ham,Happy birthday! Hope you have a wonderful day.
spam,"Lowest prices guaranteed on car! Buy 1 get 1 free, offer ends tonight www.free-gift-offer.net"
spam,FINAL NOTICE: Your payment of $5000 is overdue. Pay now to avoid penalty www.verify-account-now.com
ham,"Great job on the presentation today, the client loved it."
ham,Can you send me the report before the next week meeting?
spam,Limited time offer! Get 40% off on all products. Shop now www.free-gift-offer.net
spam,WINNER!! As a valued network customer you have been selected to receive a gift card!
spam,This is not a scam! You really did win a spa weekend. Text WIN to 12345 to claim.
ham,Happy birthday! Hope you have a wonderful day.
spam,Get rich quick! Earn $5000 per day working from home. No experience needed.
ham,"Mom said dinner will be ready by 9:30 AM, come home soon."
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked tinyurl.com/winbig
ham,The meeting has been confirmed for 10 AM in conference room B.
ham,Can you help me move some furniture this weekend?
ham,Let's finalize the budget numbers before tomorrow's review.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked bit.ly/xyz123
spam,You have 1 new voicemail regarding your unclaimed $200 refund. Call now.
spam,Limited time offer! Get 70% off on all products. Shop now www.claim-prize-now.com
ham,Can you help me move some furniture this weekend?
ham,"Let's catch up over coffee this tomorrow, are you free?"
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked bit.ly/xyz123
spam,"Claim your FREE smartwatch today, no purchase necessary! Limited stock, hurry up."
ham,"The exam syllabus has been updated, please check the portal."
spam,FINAL NOTICE: Your payment of $750 is overdue. Pay now to avoid penalty tinyurl.com/winbig
ham,"Let's catch up over coffee this Thursday, are you free?"
ham,"Great job on the presentation today, the client loved it."
ham,"Just checking in, how is the assignment coming along?"
spam,Hot singles in your area want to chat with you! Click www.verify-account-now.com now
ham,Can you help me move some furniture this weekend?
ham,"Mom said dinner will be ready by noon, come home soon."
spam,"Dear customer, you have won $10000 in our lucky draw. Claim before it expires!"
ham,The meeting has been confirmed for 10 AM in conference room B.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.claim-prize-now.com
ham,Please review the attached document and share your feedback by Thursday.
ham,The project deadline has been moved to next next week.
ham,"Thanks for sending the invoice, I'll process the payment by Thursday."
ham,"Great job on the presentation today, the client loved it."
ham,Don't forget to pick up milk on your way home.
spam,Make $10000 a week doing simple online surveys. Sign up free today!
spam,Limited time offer! Get 40% off on all products. Shop now bit.ly/xyz123
ham,"Thanks for your help yesterday, really appreciate it!"
spam,WINNER!! As a valued network customer you have been selected to receive a laptop!
spam,"Dear customer, you have won $1000 in our lucky draw. Claim before it expires!"
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Please review the attached document and share your feedback by Thursday.
ham,Can you help me move some furniture this weekend?
ham,"Just checking in, how is the assignment coming along?"
spam,Limited time offer! Get 80% off on all products. Shop now www.verify-account-now.com
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,"Thanks for your help yesterday, really appreciate it!"
ham,The project deadline has been moved to next next week.
spam,Act now! Your vacation package is waiting. Click tinyurl.com/winbig before offer expires today.
ham,Please review the attached document and share your feedback by Thursday.
ham,"I'll be a few minutes late, traffic is heavy today."
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Can you send me the report before the next week meeting?
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Can we reschedule our call to 10 AM instead?
spam,You have been selected for a FREE PlayStation 5! Reply YES to claim your prize now.
ham,Please review the attached document and share your feedback by Thursday.
spam,You have been selected for a FREE Amazon voucher! Reply YES to claim your prize now.
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.free-gift-offer.net
ham,Please review the attached document and share your feedback by Wednesday.
ham,Happy birthday! Hope you have a wonderful day.
spam,URGENT: Your account will be suspended. Verify your details immediately at www.free-gift-offer.net
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.free-gift-offer.net
ham,"Thanks for your help yesterday, really appreciate it!"
ham,Can we reschedule our call to 10 AM instead?
ham,"I attached the notes from today's class, let me know if anything is unclear."
